City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,73.26,97,100,2.06,moderate rain
84,Valparaiso,CL,-33.04,-71.63,51.8,100,90,3.36,overcast clouds
85,Susuman,RU,62.78,148.17,9.93,92,90,1.79,overcast clouds
86,Crisan,RO,44.97,29.47,46.4,87,66,18.34,broken clouds
87,Lakes Entrance,AU,-37.88,147.98,68.0,72,27,5.01,scattered clouds
88,Linqing,CN,36.85,115.71,59.83,30,100,8.57,overcast clouds
89,New Norfolk,AU,-42.78,147.06,64.99,52,83,3.0,broken clouds
90,Khilok,RU,51.37,110.47,19.02,88,100,13.62,light snow
91,Kununurra,AU,-15.77,128.73,95.0,50,8,8.05,clear sky
92,Rio Grande,BR,-32.03,-52.1,55.0,86,0,9.71,clear sky
93,Dudinka,RU,69.41,86.18,21.2,85,75,26.84,light snow
94,Gasa,PS,31.5,34.47,72.0,100,90,1.99,overcast clouds
95,Victoria,HK,22.29,114.16,77.0,69,3,1.01,clear sky
96,Luanda,AO,-8.84,13.23,77.0,88,75,5.82,broken clouds
97,Airai,TL,-8.93,125.41,78.1,35,0,3.27,clear sky
98,Ayan,RU,56.45,138.17,26.98,97,100,21.34,snow
99,Luderitz,NA,-26.65,15.16,61.56,55,0,17.92,clear sky
100,Mahebourg,MU,-20.41,57.7,68.0,72,40,9.17,shower rain
101,Constitucion,CL,-35.33,-72.42,54.28,85,0,3.8,clear sky
102,Bambanglipuro,ID,-7.95,110.28,84.81,66,0,3.13,clear sky
103,Pangnirtung,CA,66.15,-65.71,17.6,67,75,3.36,broken clouds
104,Hermanus,ZA,-34.42,19.23,57.0,81,0,4.0,clear sky
105,Saint-Francois,FR,46.42,3.91,51.8,87,0,6.93,clear sky
106,Niagara Falls,CA,43.1,-79.07,41.0,69,1,5.82,clear sky
107,Talnakh,RU,69.49,88.4,21.2,85,75,26.84,light snow
108,Maldonado,UY,-34.67,-54.92,53.6,93,0,4.7,clear sky
